!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
0|[GLM2015] WOCS 10004|08 51 24.0524758968 +11 47 11.716848564|0.9626|62.54|~|14.09|13.480|~|13.619302|~|~|~|~|~
0|[GLM2015] WOCS 2048|08 51 41.84 +12 12 22.1|~|9.59|~|~|13.040|~|~|~|~|~|~|~
0|[GLM2015] WOCS 3054|08 51 19.68 +11 22 07.8|~|-21.67|~|~|10.330|~|~|~|~|~|~|~
0|[GLM2015] WOCS 5028|08 51 01.06 +12 01 27.8|~|52.08|~|~|11.540|~|~|~|~|~|~|~
100|* 60 Cnc|08 55 55.5470446320 +11 37 33.689007588|3.6191|25.395599|~|6.921|5.440|~|4.989591|~|3.150|2.431|2.252|K5III
69|2MASS J08413528+1143505|08 41 35.2826531400 +11 43 50.558451888|0.8676|~|~|~|~|~|17.531984|~|15.772|14.863|14.566|~
74|2MASS J08414970+1056300|08 41 49.7037269424 +10 56 30.001263324|1.2784|57.714|~|~|~|~|17.350330|~|14.894|14.186|13.950|M2V
64|2MASS J08420562+1206048|08 42 05.6580823968 +12 06 04.595645592|1.8486|~|~|~|~|~|19.740168|~|16.644|16.046|15.425|~
62|2MASS J08420742+1112065|08 42 07.4226036144 +11 12 06.653231208|1.2935|~|~|~|~|~|18.699354|~|16.069|15.254|15.192|~
62|2MASS J08423696+1617142|08 42 36.9900317410 +16 17 14.244979498|1.0631|-2.380000|~|~|~|~|14.040849|~|13.033|12.717|12.632|~
100|2MASS J08432277+1205371|08 43 22.77480 +12 05 37.1400|~|14.169300|~|~|~|~|~|~|11.671|11.295|11.172|~
100|2MASS J08433724+1138183|08 43 37.2473465608 +11 38 18.326416647|0.2320|36.020199|~|~|~|~|13.665183|~|12.057|11.508|11.383|~
100|2MASS J08433755+1231395|08 43 37.5531177389 +12 31 39.510121780|0.1639|159.007004|~|~|~|~|14.928137|~|13.344|12.717|12.640|~
